sep=,
Time,x-Position,y-Position,Collision,Checkpoint
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,175,,
0.18,1005,175,,
0.2,1005,175,,
0.22,1005,175,,
0.24,1005,175,,
0.26,1005,175,,
0.28,1005,175,,
0.3,1004,176,,
0.32,1004,177,,
0.34,1004,177,,
0.36,1004,178,,
0.38,1004,179,,
0.4,1003,180,,
0.42,1003,180,,
0.44,1003,181,,
0.46,1003,182,,
0.48,1002,183,,
0.5,1002,184,,
0.52,1002,185,,
0.54,1001,185,,
0.56,1001,186,,
0.58,1000,188,,
0.6,1000,189,,
0.62,1000,190,,
0.64,999,191,,
0.66,999,192,,
0.68,998,194,,
0.7,998,195,,
0.72,998,196,,
0.74,997,197,,
0.76,997,199,,
0.78,996,200,,
0.8,995,202,,
0.82,995,204,,
0.84,995,205,,
0.86,994,206,,
0.88,994,208,,
0.9,993,210,,
0.92,992,212,,
0.94,992,213,,
0.96,991,215,,
0.98,991,216,,
1,990,219,,
1.02,989,221,,
1.04,988,223,,
1.06,988,224,,
1.08,987,226,,
1.1,987,228,,
1.12,985,231,,
1.14,985,233,,
1.16,984,235,,
1.18,984,237,,
1.2,983,238,,
1.22,982,242,,
1.24,981,244,,
1.26,980,246,,
1.28,980,248,,
1.3,979,250,,
1.32,978,254,,
1.34,977,256,,
1.36,976,258,,
1.38,975,261,,
